Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log Sales,Log Total assets
Adroit Infotech Ltd.,2011,74.44,0.0,0.0,0.05,-0.03,13.064,0.05,-2341.03,-4010.26,10.75,-120.29,-120.29,-2305.13,-45.34,95.0,0,1.3609765531356006,5.107762004826979
Adroit Infotech Ltd.,2012,59.3,0.0,0.0,0.05,-0.02,24.798000000000002,0.05,-65.85,-53.66,8.74,-3.11,-3.11,-21.95,-1.64,5.13,0,1.410986973710262,5.095588999976419
Adroit Infotech Ltd.,2013,58.52,0.0,0.0,0.0,0.0,36.532,0.0,-375.0,-375.0,7.96,-0.94,-0.94,-100.0,-0.92,-90.24,0,-0.916290731874155,5.086361004624392
Adroit Infotech Ltd.,2014,31.84,0.2,0.26,0.62,0.13,48.266,0.55,-0.1,-3.83,21.93,-0.06,-0.06,13.46,-0.06,24050.0,0,4.570578741218473,5.27556037942542
Adroit Infotech Ltd.,2015,17.49,0.0,0.0,0.63,0.26,60.0,0.56,22.09,21.99,17.49,12.5,13.95,23.89,12.22,10.04,0,4.666265285347902,5.259576538231606
Adroit Infotech Ltd.,2016,15.82,0.0,0.0,0.2,0.01,146.0,0.2,31.62,33.96,15.82,6.55,6.55,36.34,6.3,-60.4,0,3.7400477406883357,5.4638318050256105
Adroit Infotech Ltd.,2017,1.8,0.04,0.06,1.02,-0.09,14.37,0.99,8.78,11.21,1.78,8.72,8.98,14.24,7.03,435.63,0,5.418320158942733,5.800304041646823
Adroit Infotech Ltd.,2018,1.29,0.11,0.18,0.68,0.25,9.98,0.61,-8.78,-9.19,1.28,-5.38,-6.02,-5.28,-3.8,-36.14,0,4.969813299576001,5.8377304471659395
Adroit Infotech Ltd.,2019,0.42,0.33,0.9,0.6,0.01,5.59,0.44,-174.63,-175.86,0.42,-78.4,-105.75,9.73,-55.13,-44.31,0,4.384523514872469,5.159055299214529
Adroit Infotech Ltd.,2020,0.63,0.31,0.71,0.98,-0.14,1.2,0.54,0.0,0.42,0.62,0.0,0.0,33.01,0.0,-22.94,0,4.123903364463645,4.98292145552874
Adroit Infotech Ltd.,2021,0.63,0.31,0.71,0.98,-0.14,1.2,0.54,0.0,0.42,0.62,0.0,0.0,33.01,0.0,-22.94,0,4.123903364463645,4.98292145552874
Aftek Ltd.,2000,11.95,0.0,0.0,0.51,0.16,661.5,0.51,49.5,51.67,11.94,28.01,28.03,48.56,26.54,137.25,0,6.118317438103905,6.99117688712121
Aftek Ltd.,2001,21.05,0.0,0.0,0.53,0.18,293.83,0.53,50.63,51.41,21.01,29.3,29.3,50.3,27.59,35.54,0,6.4224349456245085,7.239071388453979
Aftek Ltd.,2002,6.69,0.0,0.0,0.52,0.16,78.65,0.52,40.0,42.89,6.67,21.7,21.75,52.71,20.22,56.44,0,6.869949564246238,7.859721987308762
Aftek Ltd.,2003,17.72,0.0,0.0,0.54,0.19,149.16,0.54,33.47,33.67,17.69,18.32,18.35,44.88,17.32,44.29,0,7.236627278258781,7.972638414906119
Aftek Ltd.,2004,15.49,0.27,0.39,0.64,0.15,139.16,0.53,30.14,29.71,15.48,16.25,19.72,45.26,15.52,40.52,0,7.576814664012993,8.484731981260856
Aftek Ltd.,2005,10.89,0.09,0.11,0.48,0.08,118.02,0.39,33.15,33.33,10.88,13.55,16.59,37.34,12.75,-1.0,0,7.566776744812707,8.659768563687676
Aftek Ltd.,2006,11.37,0.06,0.07,0.62,0.15,112.83,0.57,26.55,27.21,11.37,15.62,16.98,32.23,14.72,72.03,0,8.109285101656933,8.785845337961213
Aftek Ltd.,2007,7.86,0.1,0.12,0.64,0.13,84.14,0.58,17.73,22.74,7.85,10.43,11.43,35.41,9.72,18.05,0,8.27524901063831,8.98281222234415
Aftek Ltd.,2008,16.12,0.12,0.14,0.34,0.08,33.14,0.3,36.7,-3.17,16.11,15.85,17.95,36.99,14.81,-43.87,0,7.697756900905965,8.939843124278502
Aftek Ltd.,2009,18.28,0.14,0.18,0.29,0.15,1.76,0.25,-0.16,2.15,18.23,-0.04,-0.05,68.98,-0.04,-17.39,0,7.506756601651853,8.987096815661639
Aftek Ltd.,2010,4.55,0.21,0.3,0.29,0.2,2.56,0.23,7.96,8.86,4.53,2.03,2.5,67.62,1.88,-14.93,0,7.345106575952623,8.769895544971991
Aftek Ltd.,2011,0.79,0.23,0.34,0.27,0.2,1.52,0.21,3.0,7.81,0.79,0.81,1.06,86.28,0.74,-21.71,0,7.100357145183648,8.7792651054612
Aftek Ltd.,2012,1.23,0.21,0.29,0.25,0.0,1.52,0.19,-22.38,-24.55,1.22,-4.52,-5.94,86.7,-4.19,-8.5,0,7.011484464744614,8.72863656178221
Aftek Ltd.,2013,1.33,0.24,0.33,0.17,0.0,1.52,0.13,-20.29,-20.82,1.33,-3.18,-4.18,84.08,-3.01,-31.72,0,6.629891515467694,8.703772338462834
Aftek Ltd.,2014,1.62,0.09,0.13,0.12,0.0,1.52,0.1,-36.07,-32.4,1.62,-4.05,-5.0,95.11,-3.56,-30.55,0,6.26530121273771,8.670737973438772
Aftek Ltd.,2015,1.75,0.27,0.4,0.06,0.0,1.52,0.05,-48.75,-48.75,1.74,-3.79,-4.79,91.33,-3.32,-52.85,0,5.5134287461649825,8.657841697199633
Aftek Ltd.,2016,1.71,0.3,0.46,0.03,0.0,1.52,0.02,-354.23,-344.26,1.7,-7.74,-11.03,83.77,-7.36,-53.31,0,4.751864565138895,8.593839368172965
Aftek Ltd.,2017,1.71,0.3,0.46,0.03,0.0,1.52,0.02,-354.23,-344.26,1.7,-7.74,-11.03,83.77,-7.36,-53.31,0,4.751864565138895,8.593839368172965
Aftek Ltd.,2018,1.71,0.3,0.46,0.03,0.0,1.52,0.02,-354.23,-344.26,1.7,-7.74,-11.03,83.77,-7.36,-53.31,0,4.751864565138895,8.593839368172965
Aftek Ltd.,2019,1.71,0.3,0.46,0.03,0.0,1.52,0.02,-354.23,-344.26,1.7,-7.74,-11.03,83.77,-7.36,-53.31,0,4.751864565138895,8.593839368172965
Aftek Ltd.,2020,1.71,0.3,0.46,0.03,0.0,1.52,0.02,-354.23,-344.26,1.7,-7.74,-11.03,83.77,-7.36,-53.31,0,4.751864565138895,8.593839368172965
Aftek Ltd.,2021,1.71,0.3,0.46,0.03,0.0,1.52,0.02,-354.23,-344.26,1.7,-7.74,-11.03,83.77,-7.36,-53.31,0,4.751864565138895,8.593839368172965
Ajel Ltd.,2000,2.18,0.01,0.01,0.04,0.02,,0.04,-483.33,-483.33,1.95,-40.37,-40.75,-122.22,-35.29,-30.77,0,-0.10536051565782628,3.0819099697950434
Ajel Ltd.,2001,2.22,0.0,0.0,0.08,0.0,,0.08,-18.75,-25.0,1.97,-1.76,-1.78,23.08,-1.45,44.44,0,0.26236426446749106,3.0492730404820207
Ajel Ltd.,2002,2.17,0.0,0.0,0.02,-0.02,,0.02,-171.43,-171.43,1.92,-7.36,-7.36,-150.0,-6.02,-69.23,0,-0.916290731874155,2.9856819377004897
Ajel Ltd.,2003,1.76,0.0,0.0,0.05,0.02,,0.05,-53.33,-53.33,1.53,-5.18,-5.18,-50.0,-4.1,100.0,0,-0.2231435513142097,2.9856819377004897
Ajel Ltd.,2004,1.6,0.0,0.0,0.09,-0.03,,0.09,-31.58,-31.58,1.42,-4.01,-4.01,-21.43,-3.05,75.0,0,0.3364722366212129,2.9856819377004897
Ajel Ltd.,2005,1.73,0.0,0.0,0.07,-0.01,,0.07,0.0,0.0,1.53,0.0,0.0,0.0,0.0,-28.57,0,0.0,2.9601050959108397
Ajel Ltd.,2006,1.73,0.0,0.0,0.05,-0.03,,0.05,-14.29,-14.29,1.54,-1.36,-1.36,-50.0,-1.03,-20.0,0,-0.2231435513142097,2.9652730660692823
Ajel Ltd.,2007,1.67,0.0,0.0,0.07,-0.01,,0.07,0.0,0.0,1.5,0.0,0.0,-10.0,0.0,25.0,0,0.0,2.9856819377004897
Ajel Ltd.,2008,1.86,0.0,0.0,0.06,-0.002,,0.06,1.6960000000000002,47.22,1.7,1.128,1.3539999999999999,-4.837999999999999,0.892,190.0,0,2.9454910571172443,3.9852734671677386
Ajel Ltd.,2009,1.65,0.08,0.1,0.15,0.006,,0.14,3.3920000000000003,-37.88,1.55,2.256,2.7079999999999997,0.3240000000000016,1.784,327.59,0,3.6119984097779785,4.475061500641071
Ajel Ltd.,2010,3.19,0.11,0.14,0.44,0.014,8.53,0.39,5.088000000000001,26.97,2.45,3.3839999999999995,4.061999999999999,5.486000000000002,2.676,228.23,0,4.008423499714461,4.802380355275797
Ajel Ltd.,2011,1.36,0.11,0.16,0.6,0.022,2.91,0.52,6.784000000000001,3.2,1.18,4.512,5.4159999999999995,10.648000000000003,3.568,57.74,0,4.291554731509806,5.048573133436648
Ajel Ltd.,2012,1.37,0.15,0.24,0.79,0.03,65.0,0.66,8.48,13.91,1.24,5.64,6.77,15.81,4.46,41.9,0,4.511957804265912,5.245970886175828
Ajel Ltd.,2013,1.46,0.13,0.21,0.76,0.0,25.5,0.62,4.06,5.24,1.33,2.54,3.11,7.32,1.97,1.98,0,4.531523645819793,5.275048739608683
Ajel Ltd.,2014,1.74,0.12,0.18,0.39,0.006666666666666667,25.5,0.33,3.0133333333333328,-2.91,1.53,1.83,2.2333333333333334,5.243333333333334,1.42,-48.22,0,4.423248549215463,5.256800686345103
Ajel Ltd.,2015,1.79,0.12,0.18,0.5,0.013333333333333334,25.5,0.42,1.9666666666666663,3.87,1.59,1.12,1.3566666666666667,3.166666666666667,0.8700000000000001,28.9,0,4.30181030081708,5.238213442478331
Ajel Ltd.,2016,12.53,0.13,0.19,0.52,0.02,25.5,0.43,0.92,0.92,5.47,0.41,0.48,1.09,0.32,3.71,0,4.163559631243574,5.2192741592075835
Ajel Ltd.,2017,7.72,0.13,0.19,0.3,0.0,25.5,0.25,-5.41,-5.41,7.72,-1.35,-1.61,-3.78,-1.08,-42.46,0,3.6109179126442243,5.215479088239032
Ajel Ltd.,2018,5.84,0.09,0.13,0.24,-0.07,25.5,0.21,25.77,30.61,5.17,9.86,11.43,0.0,7.96,-13.24,0,3.4688560301359703,5.275048739608683
Ajel Ltd.,2019,6.44,0.1,0.14,0.17,-0.02,25.5,0.15,-14.35,-14.77,5.86,-2.12,-2.42,-8.02,-1.73,-26.17,0,3.1654750481410856,5.286244785313768
Ajel Ltd.,2020,6.44,0.1,0.14,0.17,-0.02,25.5,0.15,-14.35,-14.77,5.86,-2.12,-2.42,-8.02,-1.73,-26.17,0,3.1654750481410856,5.286244785313768
Ajel Ltd.,2021,6.44,0.1,0.14,0.17,-0.02,25.5,0.15,-14.35,-14.77,5.86,-2.12,-2.42,-8.02,-1.73,-26.17,0,3.1654750481410856,5.286244785313768
Alcatel-Lucent India Ltd.,2000,2.3,0.43,1.3,2.01,,,0.45,,-41.94,1.84,,,,,-28.65,0,,
Alcatel-Lucent India Ltd.,2001,1.92,0.47,1.68,2.29,,,0.92,,-18.99,1.72,,,,,17.19,0,,
Alcatel-Lucent India Ltd.,2002,1.66,0.2,0.85,5.72,0.08,3.02,2.57,2.58,3.24,1.58,6.82,15.15,9.4,3.78,161.55,0,8.2909949793728,8.11489306945123
Alcatel-Lucent India Ltd.,2003,2.25,0.28,0.62,1.64,0.25,5.06,0.96,3.89,13.58,2.08,3.73,6.4,18.44,2.09,-61.25,0,7.342973345239649,7.7998762615490875
Alcatel-Lucent India Ltd.,2004,1.41,0.3,1.25,3.13,-0.33,6.65,1.67,-29.13,-24.64,1.28,-49.2,-92.02,-9.6,-31.09,88.46,0,7.976698425988199,8.028389951684739
Alcatel-Lucent India Ltd.,2005,2.1,0.24,0.88,2.47,0.03,8.24,1.21,4.54,11.96,1.96,5.64,11.5,13.16,2.95,-25.64,0,7.680498913813225,8.237717355511556
Alcatel-Lucent India Ltd.,2006,1.78,0.27,1.87,2.52,0.0,7.19,1.12,-27.12,-18.42,1.62,-30.71,-68.97,-8.3,-14.2,-6.56,0,7.612633382417781,8.29918642420718
Alcatel-Lucent India Ltd.,2007,1.65,0.36,1.02,10.29,-0.07,6.140000000000001,1.79,-22.52,-20.94,1.59,-40.82,-234.39,-11.35,-15.79,40.97,0,7.9559861380893215,8.34467145910043
Alcatel-Lucent India Ltd.,2008,1.81,0.07,0.17,4.04,0.01,5.09,2.83,1.29,5.38,1.77,3.72,5.31,19.95,1.61,329.34,0,9.413060783516158,9.669289373357186
Alcatel-Lucent India Ltd.,2009,1.31,0.04,0.16,3.2,0.09,4.859999999999999,2.74,-1.31,1.13,1.22,-4.16,-4.86,-12.36,-1.48,61.75,0,9.893916899596178,10.12569066177328
Alcatel-Lucent India Ltd.,2010,0.91,0.04,0.12,2.7,0.045,4.63,2.36,-0.44500000000000006,2.05,0.88,-1.705,-2.0250000000000004,-1.004999999999999,-0.61,-12.02,0,9.72049877319871,10.043366879325815
Alcatel-Lucent India Ltd.,2011,0.99,0.02,0.04,1.9,0.0,0.77,1.76,0.42,6.23,0.97,0.75,0.81,10.35,0.26,-22.53,0,9.510563475922275,9.95365296109953
Alcatel-Lucent India Ltd.,2012,0.99,0.04,0.11,1.58,0.03,10.4,1.47,2.57,1.98,0.85,3.83,4.12,13.52,1.57,-12.08,0,9.381786336661431,9.828478405215245
Alcatel-Lucent India Ltd.,2013,0.97,0.05,0.13,1.65,0.05,15.83,1.47,0.69,5.03,0.82,1.01,1.14,20.37,0.46,4.8,0,9.428640211435372,9.827594141280345
Alcatel-Lucent India Ltd.,2014,1.12,0.05,0.12,1.61,0.08,2.78,1.43,2.69,4.96,0.95,3.9299999999999997,4.39,17.0,1.91,2.05,0,9.475124782449466,9.841242399618165
Alcatel-Lucent India Ltd.,2015,1.96,0.05,0.11,1.61,0.11,19.74,1.44,4.69,4.8,1.74,6.85,7.64,13.63,3.36,7.32,0,9.519544181443202,9.854706888321571
Alcatel-Lucent India Ltd.,2016,1.67,0.05,0.09,1.63,0.10500000000000001,121.95,1.48,7.18,8.71,1.53,9.379999999999999,10.07,15.650000000000002,5.34,20.49,0,9.576163344811905,9.893308420509968
Alcatel-Lucent India Ltd.,2017,1.88,0.01,0.01,1.27,0.1,28.67,1.21,9.67,9.66,1.77,11.91,12.5,17.67,7.32,-7.34,0,9.629747832207054,9.930475090744714
Alcatel-Lucent India Ltd.,2018,2.03,0.0,0.0,1.24,-0.01,150.05,1.23,9.91,18.15,1.89,12.25,12.34,22.28,7.12,10.4,0,9.728699547148999,10.183616169332995
Alcatel-Lucent India Ltd.,2019,2.51,0.08,0.15,1.0,0.06,10.94,0.93,5.28,15.11,2.26,5.21,5.61,18.03,3.02,-10.13,0,9.621933333050462,10.295350570226006
Alcatel-Lucent India Ltd.,2020,2.65,0.1,0.19,0.98,0.09,7.33,0.84,6.31,13.25,2.45,5.35,6.25,22.76,3.29,6.47,0,9.684634782639074,10.39570205887604
Alcatel-Lucent India Ltd.,2021,2.65,0.1,0.19,0.98,0.09,7.33,0.84,6.31,13.25,2.45,5.35,6.25,22.76,3.29,6.47,0,9.684634782639074,10.39570205887604
Allied Digital Services Ltd.,2000,1.6,0.3,0.82,11.9,,2.42,6.15,,1.18,1.49,,,,,-21.24,0,,
Allied Digital Services Ltd.,2001,1.54,0.35,0.89,7.26,,2.43,3.9,,1.66,1.36,,,,,-26.42,0,,
Allied Digital Services Ltd.,2002,1.53,0.4,1.18,11.58,,4.1,5.65,,3.07,1.36,,,,,86.02,0,,
Allied Digital Services Ltd.,2003,1.39,0.45,1.55,9.37,,2.28,3.94,,2.01,1.26,,,,,-2.01,0,,
Allied Digital Services Ltd.,2004,1.39,0.45,1.55,9.37,,2.28,3.94,,2.01,1.26,,,,,-2.01,0,,
Allied Digital Services Ltd.,2005,1.8599999999999999,0.27,0.845,6.545,-0.17,21.150000000000002,3.525,13.22,10.985000000000001,1.775,,,18.8,,37.825,0,6.7770769553400205,6.120077614575958
Allied Digital Services Ltd.,2006,2.33,0.09,0.14,3.72,0.04,40.02,3.11,14.68,19.96,2.29,45.67,54.65,21.59,33.57,77.66,0,7.351799869057777,6.8160784904102325
Allied Digital Services Ltd.,2007,3.4,0.06,0.09,2.48,-0.1,69.06,2.26,14.5,21.53,3.32,33.08,36.34,22.95,25.87,90.82,0,7.997965703969408,7.806207852726413
Allied Digital Services Ltd.,2008,2.83,0.11,0.14,1.56,0.03,43.65,1.39,19.51,24.13,2.73,27.52,30.78,24.37,23.82,30.58,0,8.264801039742904,8.293174257066074
Allied Digital Services Ltd.,2009,4.57,0.09,0.1,0.99,0.07,67.6,0.88,20.45,24.88,4.48,18.27,20.36,27.52,16.9,20.97,0,8.455147560444356,8.92136412911369
Allied Digital Services Ltd.,2010,2.82,0.12,0.14,0.79,0.02,10.71,0.7,10.61,12.0,2.36,7.56,8.49,23.22,7.11,11.02,0,8.559716138496128,9.023757749723549
Allied Digital Services Ltd.,2011,2.55,0.12,0.15,0.59,0.06,1.9,0.52,0.86,3.48,1.99,0.46,0.53,7.34,0.43,-22.16,0,8.30920915185985,9.036474960989766
Allied Digital Services Ltd.,2012,2.41,0.12,0.14,0.35,0.03,0.92,0.3,-1.82,-2.8,1.87,-0.57,-0.65,12.25,-0.53,-41.68,0,7.769969900657621,9.030447862656288
Allied Digital Services Ltd.,2013,2.56,0.12,0.15,0.22,0.01,1.78,0.2,7.04,5.13,2.01,1.64,1.87,16.82,1.53,-35.1,0,7.337717858690689,9.031883338284379
Allied Digital Services Ltd.,2014,2.85,0.15,0.18,0.19,0.0,1.14,0.16,0.31,1.59,2.32,0.05,0.06,27.96,0.05,-15.16,0,7.173268426662856,9.035057982013313
Allied Digital Services Ltd.,2015,1.54,0.18,0.24,0.19,0.03,1.21,0.16,2.37,2.92,1.21,0.39,0.47,34.19,0.36,-16.89,0,6.988228663132014,8.723589283651368
Allied Digital Services Ltd.,2016,1.5,0.16,0.22,0.17,0.04,1.46,0.14,2.08,8.17,1.27,0.32,0.39,38.85,0.29,-27.68,0,6.664153885765531,8.726562309308607
Allied Digital Services Ltd.,2017,1.77,0.14,0.19,0.17,0.02,3.07,0.14,5.62,11.37,1.51,0.92,1.1,42.79,0.81,-4.71,0,6.615931307363021,8.72349165759164
Allied Digital Services Ltd.,2018,2.39,0.11,0.14,0.17,0.04,2.21,0.14,11.26,13.01,2.03,1.81,2.1,35.69,1.58,1.3,0,6.628834712198929,8.702892370948243
Allied Digital Services Ltd.,2019,2.54,0.09,0.11,0.2,0.01,2.1,0.18,6.48,8.85,2.17,1.21,1.36,25.28,1.06,24.5,0,6.848005274576363,8.703988061342741
Allied Digital Services Ltd.,2020,2.61,0.09,0.11,0.2,0.02,2.94,0.18,6.73,7.81,2.21,1.26,1.4,21.41,1.11,2.39,0,6.871609832345784,8.70370595282866
Allied Digital Services Ltd.,2021,2.61,0.09,0.11,0.2,0.02,2.94,0.18,6.73,7.81,2.21,1.26,1.4,21.41,1.11,2.39,0,6.871609832345784,8.70370595282866
Athena Global Technologies Ltd.,2000,6.12,0.08,0.1,1.13,0.0,58.83,1.05,15.89,15.89,5.87,17.01,18.22,21.52,16.41,27.57,0,5.369241704884735,5.510197725583535
Athena Global Technologies Ltd.,2001,3.89,0.12,0.14,0.93,0.0,3.09,0.83,3.65,3.65,3.33,3.04,3.4,11.01,3.0,-7.36,0,5.292802185859927,5.575570243509278
Athena Global Technologies Ltd.,2002,2.96,0.12,0.14,0.87,0.08,2.29,0.76,2.62,2.67,2.93,1.99,2.28,10.31,1.97,-0.55,0,5.287256419188612,5.652489180268651
Athena Global Technologies Ltd.,2003,2.91,0.11,0.13,0.66,0.07,2.79,0.58,5.19,5.25,2.2,3.06,3.48,18.8,2.96,-18.81,0,5.078916801512661,5.715711045521475
Athena Global Technologies Ltd.,2004,2.82,0.14,0.18,0.61,0.02,2.1,0.53,3.33,3.39,2.18,1.77,2.05,13.91,1.68,-2.86,0,5.049856007249537,5.784132827309859
Athena Global Technologies Ltd.,2005,3.13,0.17,0.21,0.59,0.0,1.55,0.5,1.49,2.2,2.35,0.74,0.89,13.85,0.7,-1.41,0,5.035653057071544,5.8150256534721825
Athena Global Technologies Ltd.,2006,1.83,0.21,0.45,0.62,0.01,1.3766666666666667,0.48,-80.44,-79.68,1.2,-38.83,-50.52,-5.15,-31.89,-15.34,0,4.869071729774468,5.796057750765372
Athena Global Technologies Ltd.,2007,1.78,0.19,0.4,0.66,0.03,1.2033333333333334,0.46,-13.68,-12.23,1.11,-6.35,-9.04,9.63,-4.3,-24.27,0,4.591071261608589,5.718671087149952
Athena Global Technologies Ltd.,2008,1.71,0.2,0.43,0.69,0.0,1.03,0.49,0.2,0.0,1.07,0.1,0.14,13.26,0.07,0.2,0,4.593097604753822,5.735926927982768
Athena Global Technologies Ltd.,2009,1.3,0.21,0.51,0.23,0.0,4.47,0.16,-75.82,-78.76,0.74,-12.26,-17.99,-26.09,-7.73,-69.74,0,3.3978584803966405,5.6722918075648305
Athena Global Technologies Ltd.,2010,0.56,0.26,0.85,0.17,-0.03,7.91,0.1,-173.26,-177.54,0.05,-19.41,-32.14,-100.59,-11.32,-43.14,0,2.833213344056216,5.64119759946458
Athena Global Technologies Ltd.,2011,0.99,0.11,0.85,0.23,0.18,11.35,0.13,-314.69,-317.48,0.16,-39.68,-73.47,-209.79,-15.61,-15.88,0,2.6602595372658615,5.685957889743649
Athena Global Technologies Ltd.,2012,0.96,0.11,2.05,1.15,0.0,14.79,0.52,-57.69,-57.69,0.15,-30.38,-67.04,-44.19,-6.07,116.78,0,3.4339872044851463,5.698434868329605
Athena Global Technologies Ltd.,2013,0.97,0.15,2.0785714285714283,-4.83,0.1,18.23,2.66,-85.85,-85.85,0.28,-229.05,-48.85625,4.36,-18.86,107.1,0,4.162003210695915,5.6598305871270185
Athena Global Technologies Ltd.,2014,1.0,0.19,2.107142857142857,-1.9,0.02,21.67,137.82,8.18,8.18,0.33,1127.27,-30.6725,11.21,2.53,18.07,0,4.328098292648326,5.308762624409575
Athena Global Technologies Ltd.,2015,0.77,0.26,2.1357142857142857,-1.21,-0.04,16.615000000000002,-2.65,-110.22,-85.43,0.37,1019.506,-12.488749999999996,0.35,-54.19,12.27,0,4.443827035579329,4.970507503005476
Athena Global Technologies Ltd.,2016,0.4,0.4,2.164285714285714,-1.0,0.01,11.56,-1.79,-29.37,-29.2,0.21,911.742,5.695000000000007,5.29,-24.13,24.32,0,4.661550519424199,4.94306997460049
Athena Global Technologies Ltd.,2017,1.06,0.16,2.1928571428571426,-0.82,0.16,6.504999999999999,-1.5,-23.52,1.56,0.64,803.9780000000001,23.87875000000001,-7.6,-12.71,-25.43,0,4.368181227851829,5.343290732190768
Athena Global Technologies Ltd.,2018,0.95,0.09,2.2214285714285715,-1.8,-0.3,1.45,-2.83,3.15,6.59,0.58,696.214,42.062500000000014,13.03,2.13,83.78,0,4.976733742420574,5.668500660511562
Athena Global Technologies Ltd.,2019,0.78,0.12,2.25,-10.07,-0.05,3.74,18.8,27.35,32.81,0.52,588.45,60.24625000000002,51.5,22.02,79.59,0,5.562218910334414,6.110801929696603
Athena Global Technologies Ltd.,2020,0.44,0.17,1.29,4.31,0.62,2.03,1.71,15.3,19.36,0.27,31.06,78.43,41.64,7.61,-19.85,0,5.340897814083155,6.30609278854437
Athena Global Technologies Ltd.,2021,0.44,0.17,1.29,4.31,0.62,2.03,1.71,15.3,19.36,0.27,31.06,78.43,41.64,7.61,-19.85,0,5.340897814083155,6.30609278854437
Bangalore Softsell Ltd.,2000,7.26,0.07,0.08,0.15,-0.08,3.82,0.14,19.79,21.18,7.26,4.2,4.52,25.26,4.04,-7.18,0,2.9652730660692823,5.29931686688112
Bangalore Softsell Ltd.,2001,7.44,0.05,0.05,0.08,0.02,1.94,0.07,6.15,8.16,7.44,0.63,0.67,63.38,0.61,-26.8,0,2.653241964607215,5.262690188904886
Bangalore Softsell Ltd.,2002,3.38,0.05,0.05,0.09,-0.03,2.73,0.08,8.99,12.82,2.45,0.89,0.93,63.06,0.87,10.56,0,2.7536607123542622,5.288267030694535
Bangalore Softsell Ltd.,2003,3.47,0.03,0.04,0.07,0.04,2.7,0.07,9.8,13.92,2.34,0.78,0.82,47.62,0.75,-19.75,0,2.533696813957432,5.298317366548036
Bangalore Softsell Ltd.,2004,2.45,0.02,0.02,0.05,0.03,2.6,0.05,-57.78,-86.67,1.24,-4.18,-4.31,58.89,-3.97,-28.57,0,2.1972245773362196,5.262171919911683
Bangalore Softsell Ltd.,2005,20.85,0.0,0.0,0.09,-0.06,2.5,0.09,-23.94,5.61,14.5,-2.53,-2.57,35.85,-2.4,76.67,0,2.766319109226186,5.20839265902005
Bangalore Softsell Ltd.,2006,20.41,0.0,0.0,0.07,0.02,2.5,0.07,-44.88,-68.5,12.94,-4.09,-4.09,-21.74,-3.84,-42.14,0,2.2192034840549946,4.73444252169223
Bangalore Softsell Ltd.,2007,12.08,0.0,0.0,0.03,0.08,2.5,0.03,-122.95,-161.9,12.08,-7.37,-7.37,-129.63,-6.84,-70.65,0,0.9932517730102834,4.657762636107262
Bangalore Softsell Ltd.,2008,10.8,0.0,0.0,0.05,-0.06,2.5,0.05,-142.25,-205.63,10.8,-10.85,-10.85,-111.36,-10.1,62.96,0,1.4816045409242156,4.549657476057832
Bangalore Softsell Ltd.,2009,12.75,0.0,0.0,0.09,-0.02,2.5,0.09,-64.37,-78.49,12.75,-6.55,-6.55,-13.75,-6.11,81.82,0,2.0794415416798357,4.486386649998124
Bangalore Softsell Ltd.,2010,5.57,0.0,0.0,0.02,-0.06,2.5,0.02,-517.65,-747.06,5.57,-11.2,-11.2,-433.33,-10.75,-85.0,0,0.1823215567939546,4.316153890523174
Bangalore Softsell Ltd.,2011,3.25,0.0,0.0,0.04,-0.03,2.5,0.04,-157.58,-200.0,3.25,-7.25,-7.25,-92.59,-7.07,125.0,0,0.9932517730102834,4.280824129164719
Bangalore Softsell Ltd.,2012,2.5,0.0,0.0,0.02,-0.02,2.5,0.02,-250.0,-364.29,2.5,-5.18,-5.18,-190.91,-5.05,-59.26,0,0.09531017980432493,4.192680462942962
Bangalore Softsell Ltd.,2013,1.8,0.0,0.0,0.01,-0.02,2.5,0.01,-236.36,-345.45,1.8,-4.03,-4.03,-100.0,-4.0,-18.18,0,-0.10536051565782628,4.154184562578117
Bangalore Softsell Ltd.,2014,2.63,0.0,0.0,0.03,0.0,2.5,0.03,-26.09,-26.09,2.63,-0.97,-0.97,-33.33,-0.96,133.33,0,0.7419373447293773,4.123903364463645
Bangalore Softsell Ltd.,2015,1.11,0.0,0.0,0.01,0.0,2.5,0.01,-250.0,-180.0,1.11,-3.33,-3.33,-283.33,-3.28,-71.43,0,-0.5108256237659907,4.096009841541162
Bangalore Softsell Ltd.,2016,1.79,0.0,0.0,0.03,0.01,2.5,0.03,-168.42,10.53,1.79,-5.56,-5.56,11.11,-5.42,200.0,0,0.5877866649021191,4.060443010546419
Bangalore Softsell Ltd.,2017,0.93,0.0,0.0,0.05,-0.01,2.5,0.05,-869.57,-75.0,0.93,-43.43,-43.43,-52.38,-41.67,16.67,0,0.7419373447293773,3.6375861597263857
Bangalore Softsell Ltd.,2018,1.82,0.0,0.0,0.18,0.02,2.5,0.18,-421.28,-410.42,1.82,-75.57,-75.57,8.7,-70.71,119.05,0,1.5260563034950492,2.8903717578961645
Bangalore Softsell Ltd.,2019,5.27,0.0,0.0,0.77,-0.07,2.5,0.77,-102.2,-102.2,5.27,-79.49,-79.49,26.67,-70.45,95.65,0,2.1972245773362196,2.128231705849268
